Epoch,Average Cost,Accuracy
248,0.00926535,0.940533
249,0.00924917,0.940667
250,0.00923304,0.94075
251,0.00921702,0.940967
252,0.00920098,0.94105
253,0.00918504,0.941167
254,0.00916911,0.941333
255,0.00915329,0.94145
256,0.00913748,0.941583
257,0.00912176,0.941667
258,0.00910609,0.94175
259,0.0090905,0.941783
260,0.00907496,0.9419
261,0.00905949,0.941933
262,0.00904406,0.94205
263,0.00902868,0.9422
264,0.00901337,0.942433
265,0.00899813,0.942567
266,0.00898293,0.942783
267,0.00896779,0.94285
268,0.00895271,0.942967
269,0.00893767,0.943133
270,0.0089227,0.943167
271,0.00890779,0.943233
272,0.0088929,0.943317
273,0.00887809,0.9434
274,0.00886332,0.943533
275,0.00884862,0.943583
276,0.00883398,0.943667
277,0.00881937,0.943767
278,0.00880485,0.943867
279,0.00879037,0.94395
280,0.00877596,0.944133
281,0.0087616,0.9442
282,0.00874732,0.9443
283,0.00873309,0.944417
284,0.00871891,0.94455
285,0.00870477,0.94475
286,0.00869072,0.944833
287,0.00867672,0.944867
288,0.00866277,0.944917
289,0.00864886,0.94495
290,0.008635,0.945117
291,0.00862117,0.9452
292,0.00860741,0.945267
293,0.0085937,0.945367
294,0.00858003,0.9455
295,0.00856642,0.945567
296,0.00855288,0.9457
297,0.00853939,0.94575
298,0.00852593,0.945867
299,0.00851251,0.946017
300,0.00849913,0.946033
301,0.00848581,0.946133
302,0.00847252,0.946367
303,0.00845927,0.94645
304,0.00844607,0.946533
305,0.00843292,0.946617
306,0.00841982,0.946667
307,0.00840678,0.946717
308,0.0083938,0.946783
309,0.00838086,0.946967
310,0.00836797,0.947033
311,0.00835513,0.947083
312,0.00834235,0.947167
313,0.00832961,0.947267
314,0.00831692,0.947267
315,0.00830426,0.947367
316,0.00829167,0.94745
317,0.00827909,0.947517
318,0.00826656,0.94765
319,0.00825406,0.9477
320,0.00824161,0.9478
321,0.0082292,0.947833
322,0.00821682,0.947983
323,0.00820447,0.94805
324,0.00819216,0.948083
325,0.00817988,0.948133
326,0.00816764,0.948183
327,0.00815543,0.948217
328,0.00814327,0.948317
329,0.00813115,0.948433
330,0.00811908,0.948533
331,0.00810706,0.948667
332,0.00809506,0.948717
333,0.00808311,0.9488
334,0.00807117,0.94885
335,0.0080593,0.948933
336,0.00804746,0.949
337,0.00803565,0.949117
338,0.00802389,0.9492
339,0.00801215,0.949317
340,0.00800046,0.949417
341,0.00798881,0.94945
342,0.00797719,0.9495
343,0.0079656,0.949567
344,0.00795403,0.9496
345,0.00794252,0.949667
346,0.00793101,0.9497
347,0.00791954,0.9498
348,0.00790811,0.94985
349,0.00789673,0.949933
350,0.00788536,0.95
351,0.00787406,0.950083
352,0.00786278,0.950133
353,0.00785153,0.950133
354,0.0078403,0.950217
355,0.0078291,0.950283
356,0.00781794,0.9503
357,0.00780682,0.95035
358,0.00779572,0.9504
359,0.00778465,0.95045
360,0.00777361,0.950483
361,0.00776261,0.950583
362,0.00775164,0.950583
363,0.00774071,0.950667
364,0.00772981,0.950733
365,0.00771895,0.950833
366,0.00770813,0.950933
367,0.00769733,0.950983
368,0.00768656,0.951117
369,0.0076758,0.951117
370,0.00766509,0.9512
371,0.00765442,0.9513
372,0.00764379,0.951417
373,0.00763319,0.951517
374,0.0076226,0.9516
375,0.00761207,0.9517
376,0.00760154,0.951717
377,0.00759105,0.951767
378,0.00758058,0.95185
379,0.00757014,0.951867
380,0.00755971,0.9519
381,0.00754934,0.95195
382,0.00753898,0.952017
383,0.00752865,0.952183
384,0.00751835,0.952267
385,0.00750808,0.952317
386,0.00749785,0.952433
387,0.00748763,0.952483
388,0.00747745,0.952583
389,0.00746729,0.952617
390,0.00745717,0.95265
391,0.00744706,0.952717
392,0.00743699,0.952883
393,0.00742695,0.952967
394,0.00741694,0.953017
395,0.00740695,0.953067
396,0.007397,0.953133
397,0.00738707,0.95315
398,0.00737716,0.953183
399,0.00736729,0.953233
400,0.00735744,0.953267
401,0.00734763,0.95335
402,0.00733785,0.953417
403,0.00732808,0.953417
404,0.00731837,0.953467
405,0.00730866,0.9535
406,0.00729899,0.9536
407,0.00728934,0.953633
408,0.00727972,0.95375
409,0.00727013,0.9538
410,0.00726055,0.95385
411,0.007251,0.95395
412,0.00724147,0.954033
413,0.00723196,0.954117
414,0.00722247,0.95415
415,0.007213,0.954217
416,0.00720357,0.954317
417,0.00719415,0.954383
418,0.00718479,0.95445
419,0.00717542,0.9545
420,0.00716611,0.95455
421,0.0071568,0.954633
422,0.00714752,0.954683
423,0.00713827,0.9547
424,0.00712903,0.95485
425,0.00711982,0.954917
426,0.00711064,0.954983
427,0.00710147,0.955017
428,0.00709234,0.955167
429,0.00708324,0.9552
430,0.00707417,0.955317
431,0.00706511,0.95535
432,0.00705608,0.95545
433,0.00704708,0.955517
